Lat,Long,Heading,DateTime,Operator,Depot,Division,UTSDepot,Speed,Acceleration,Bus_ID
40.838693,-73.878195,3.7,2024-01-06 06:51:01,40345,WEST FARMS,Bronx,WF,0.0,0.0,323
40.838693,-73.878195,3.7,2024-01-06 06:51:02,40345,WEST FARMS,Bronx,WF,0.0,0.0,323
40.838693,-73.878195,3.7,2024-01-06 06:51:03,40345,WEST FARMS,Bronx,WF,0.0,0.0,323
40.838693,-73.878195,3.7,2024-01-06 06:51:04,40345,WEST FARMS,Bronx,WF,0.0,0.0,323
40.838693,-73.878195,3.7,2024-01-06 06:51:05,40345,WEST FARMS,Bronx,WF,0.0,0.0,323
40.838693,-73.878195,3.7,2024-01-06 06:51:06,40345,WEST FARMS,Bronx,WF,0.0,0.0,323
40.838693,-73.878195,357.3,2024-01-06 06:51:07,40345,WEST FARMS,Bronx,WF,0.287727196,0.287727196,323
40.838693,-73.878195,352.7,2024-01-06 06:51:08,40345,WEST FARMS,Bronx,WF,1.725681358,1.437954162,323
40.838712,-73.878197,349.4,2024-01-06 06:51:09,40345,WEST FARMS,Bronx,WF,3.451362716,1.725681358,323
40.838727,-73.8782,341.5,2024-01-06 06:51:10,40345,WEST FARMS,Bronx,WF,3.898635324,0.447272608,323
40.838745,-73.878208,341.3,2024-01-06 06:51:11,40345,WEST FARMS,Bronx,WF,4.10113527,0.202499946,323
40.838763,-73.878217,340.4,2024-01-06 06:51:12,40345,WEST FARMS,Bronx,WF,4.221135238,0.119999968,323
40.838782,-73.878228,337.5,2024-01-06 06:51:13,40345,WEST FARMS,Bronx,WF,4.11136254,-0.109772698,323
40.838795,-73.878233,343.0,2024-01-06 06:51:14,40345,WEST FARMS,Bronx,WF,3.400226366,-0.711136174,323
40.838807,-73.87824,332.8,2024-01-06 06:51:15,40345,WEST FARMS,Bronx,WF,2.60795385,-0.792272516,323
40.838818,-73.878245,328.3,2024-01-06 06:51:16,40345,WEST FARMS,Bronx,WF,2.421817536,-0.186136314,323
40.838827,-73.878248,320.3,2024-01-06 06:51:17,40345,WEST FARMS,Bronx,WF,2.105453984,-0.316363552,323
40.838827,-73.878248,320.3,2024-01-06 06:51:18,40345,WEST FARMS,Bronx,WF,1.18636332,-0.919090664,323
